PLK2	TP53
PMAIP1	TP53
PMF1	SAT1
POLR2C	TWISTNB
PPIE	SF3B4
PPIE	SNRPA1
PPIE	SNW1
PRDX1	TXN
PRDX4	TXN
PREB	SAR1A
PREB	SEC13
PRMT1	TP53
PSAT1	SHMT2
PSMB1	PSMB3
PSMB1	PSMB6
PSMB1	PSMB7
PSMB1	PSMC1
PSMB1	PSMC3
PSMB1	PSMC4
PSMB1	PSMD4
PSMB1	PSMD7
PSMB1	PSMD8
PSMB1	PSME2
PSMB1	RPS27A
PSMB3	PSMB6
PSMB3	PSMB7
PSMB3	PSMC1
PSMB3	PSMC3
PSMB3	PSMC4
PSMB3	PSMD4
PSMB3	PSMD7
PSMB3	PSMD8
PSMB3	PSME2
PSMB3	RPS27A
PSMB3	UBC
PSMB6	PSMB7
PSMB6	PSMC1
PSMB6	PSMC3
PSMB6	PSMC4
PSMB6	PSMD4
PSMB6	PSMD7
PSMB6	PSMD8
PSMB6	PSME2
PSMB6	RPS27A
PSMB6	UBC
PSMB7	PSMC1
PSMB7	PSMC3
PSMB7	PSMC4
PSMB7	PSMD4
PSMB7	PSMD7
PSMB7	PSMD8
PSMB7	PSME2
PSMB7	RPS27A
PSMB7	UBC
PSMC1	PSMC3
PSMC1	PSMC4
PSMC1	PSMD4
PSMC1	PSMD7
PSMC1	PSMD8
PSMC3	PSMC4
PSMC3	PSMD4
PSMC3	PSMD7
PSMC3	PSMD8
PSMC3	RPS27A
PSMC3	UBC
PSMC4	PSMD4
PSMC4	PSMD7
PSMC4	PSMD8
PSMC4	PSME2
PSMC4	RPS27A
PSMD4	PSMD7
PSMD4	PSMD8
PSMD4	RPS27A
PSMD4	UBC
PSMD7	PSMD8
PSMD7	PSME2
PSMD7	RPS27A
PSMD8	RPS27A
PSMD8	UBC
RAN	XPOT
RB1CC1	TP53
RBM42	SF3B4
RBM42	SNRPA1
RDX	SLC9A3R2
RPL22L1	RPL28
RPL22L1	RPL7A
RPL22L1	RPS27A
RPL22L1	RPS27L
RPL22L1	RPS4X
RPL22L1	RPS4Y1
RPL28	RPL7A
RPL28	RPS27A
RPL28	RPS27L
RPL28	RPS4X
RPL28	RPS4Y1
RPL28	TMA16
RPL28	TUBB
RPL7A	RPS27A
RPL7A	RPS27L
RPL7A	RPS4X
RPL7A	RPS4Y1
RPL7A	TMA16
RPL7A	TUBB
RPS27A	RPS27L
RPS27A	RPS4X
RPS27A	RPS4Y1
RPS27A	UBC
RPS27A	UBE2S
RPS27A	UTP18
RPS27A	WDR43
RPS27L	RPS4X
RPS27L	RPS4Y1
RPS27L	UTP18
RPS27L	WDR43
RPS4X	RPS4Y1
RPS4X	UTP18
RPS4X	WDR43
S100A4	TP53
SAR1A	SEC13
SAT1	SMOX
SCO2	TP53
SF3B4	SNRPA1
SF3B4	SNW1
SFN	TP53
SFN	TXNDC9
SFPQ	SRSF3
SLC25A5	VDAC3
SLC3A2	SLC7A11
SLC3A2	SLC7A5
SNRPA1	SNW1
SRSF3	SRSF4
SRSF3	SSB
TEAD1	TEAD4
TMX1	TXN
TUBA1A	TUBA1B
TUBA1A	TUBB
TUBA1A	TUBB4B
TUBA1A	TUBB6
TUBA1B	TUBA1C
TUBA1B	TUBB
TUBA1B	TUBB4B
TUBA1B	TUBB6
TUBA1B	TXNDC9
TUBA1C	TUBB
TUBA1C	TUBB4B
TUBA1C	TUBB6
TUBB	TUBB4B
UBC	UBE2S
UBC	UBE2T
UTP18	WDR18
UTP18	WDR43
